Problem,Schema,Sub-Category
"If the height of a model is 5 times smaller than the actual height of a building which is 3 meters, what is the height of the model?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a building which is 2 meters, what is the height of the model?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a building which is 2 meters, what is the height of the model?",Multiplicative,Comparison
"A car is 5 times heavier than a motorcycle. If the motorcycle weighs 200 kg, how much does the car weigh?",Multiplicative,Comparison
"A bicycle is 4 times faster than walking. If walking speed is 5 km/h, what is the speed of the bicycle?",Multiplicative,Comparison
"A bicycle is 4 times faster than walking. If walking speed is 5 km/h, what is the speed of the bicycle?",Multiplicative,Comparison
"A car is 5 times heavier than a motorcycle. If the motorcycle weighs 200 kg, how much does the car weigh?",Multiplicative,Comparison
"A bicycle is 4 times faster than walking. If walking speed is 5 km/h, what is the speed of the bicycle?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a tree which is 5 meters, what is the height of the model?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a building which is 2 meters, what is the height of the model?",Multiplicative,Comparison
"A car is 5 times heavier than a motorcycle. If the motorcycle weighs 200 kg, how much does the car weigh?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a building which is 2 meters, what is the height of the model?",Multiplicative,Comparison
"If the height of a model is 6 times smaller than the actual height of a tree which is 4 meters, what is the height of the model?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a tree which is 5 meters, what is the height of the model?",Multiplicative,Comparison
"Tom has 3 times as many marbles as Jane. If Jane has 4 marbles, how many marbles does Tom have?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a tree which is 5 meters, what is the height of the model?",Multiplicative,Comparison
"A car is 5 times heavier than a motorcycle. If the motorcycle weighs 200 kg, how much does the car weigh?",Multiplicative,Comparison
"Tom has 3 times as many marbles as Jane. If Jane has 4 marbles, how many marbles does Tom have?",Multiplicative,Comparison
"If the height of a model is 6 times smaller than the actual height of a tree which is 4 meters, what is the height of the model?",Multiplicative,Comparison
"A car is 5 times heavier than a motorcycle. If the motorcycle weighs 200 kg, how much does the car weigh?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a building which is 3 meters, what is the height of the model?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a building which is 2 meters, what is the height of the model?",Multiplicative,Comparison
"If the height of a model is 6 times smaller than the actual height of a tree which is 4 meters, what is the height of the model?",Multiplicative,Comparison
"If the height of a model is 5 times smaller than the actual height of a building which is 2 meters, what is the height of the model?",Multiplicative,Comparison
"If a worker earns $15 per hour, how much will they earn in 8 hours?",Multiplicative,Ratios/Proportions
"The ratio of blue to red balls in a bag is 2:1. If there are 10 blue balls, how many red balls are there?",Multiplicative,Ratios/Proportions
"If 1/3 of a cake is eaten, how much of the cake remains?",Multiplicative,Ratios/Proportions
"A farmer has 50 kg of wheat, which is packed into 5 bags. How many kilograms of wheat are in each bag?",Multiplicative,Ratios/Proportions
Water flows into a tank at a rate of 5 liters per minute. How much water will flow in after 12 minutes?,Multiplicative,Ratios/Proportions
"If one book costs $12, how much do 8 books cost?",Multiplicative,Ratios/Proportions
"If a worker earns $15 per hour, how much will they earn in 8 hours?",Multiplicative,Ratios/Proportions
"The ratio of cats to dogs in a shelter is 5:4. If there are 20 cats, how many dogs are there?",Multiplicative,Ratios/Proportions
A car consumes 7 liters of fuel to travel 100 km. How much fuel is needed for 500 km?,Multiplicative,Ratios/Proportions
"A farmer has 50 kg of wheat, which is packed into 5 bags. How many kilograms of wheat are in each bag?",Multiplicative,Ratios/Proportions
"A farmer has 50 kg of wheat, which is packed into 5 bags. How many kilograms of wheat are in each bag?",Multiplicative,Ratios/Proportions
"If one book costs $12, how much do 8 books cost?",Multiplicative,Ratios/Proportions
"In a map, 1 inch represents 5 miles. If the distance between two cities on the map is 4 inches, what is the actual distance?",Multiplicative,Ratios/Proportions
Water flows into a tank at a rate of 5 liters per minute. How much water will flow in after 12 minutes?,Multiplicative,Ratios/Proportions
"A recipe calls for 2 cups of sugar for every 5 cups of flour. If you have 10 cups of flour, how many cups of sugar do you need?",Multiplicative,Ratios/Proportions
A factory produces 15 gadgets per hour. How many gadgets are produced in 10 hours?,Multiplicative,Ratios/Proportions
"If one book costs $12, how much do 8 books cost?",Multiplicative,Ratios/Proportions
"The ratio of boys to girls in a class is 2:3. If there are 12 boys, how many girls are there?",Multiplicative,Ratios/Proportions
"A recipe calls for 2 cups of sugar. If the recipe is doubled, how many cups of sugar are needed?",Multiplicative,Ratios/Proportions
A car travels at 60 km/h. How far will it travel in 3 hours?,Multiplicative,Ratios/Proportions
"The ratio of boys to girls in a class is 2:3. If there are 12 boys, how many girls are there?",Multiplicative,Ratios/Proportions
"If one book costs $12, how much do 8 books cost?",Multiplicative,Ratios/Proportions
"If 3 pencils cost $9, how much would 5 pencils cost?",Multiplicative,Ratios/Proportions
"A recipe calls for 2 cups of sugar. If the recipe is doubled, how many cups of sugar are needed?",Multiplicative,Ratios/Proportions
A factory produces 15 gadgets per hour. How many gadgets are produced in 10 hours?,Multiplicative,Ratios/Proportions
"A recipe calls for 2 cups of sugar. If the recipe is doubled, how many cups of sugar are needed?",Multiplicative,Ratios/Proportions
"A rope is 12 meters long. If 1/4 of it is cut off, how much rope is left?",Multiplicative,Ratios/Proportions
A tank holds 200 liters of water. It is divided equally into 4 smaller tanks. How much water does each smaller tank hold?,Multiplicative,Ratios/Proportions
"A pizza is cut into 8 slices. If 3/8 of the pizza is eaten, how many slices are left?",Multiplicative,Ratios/Proportions
"If 1/3 of a cake is eaten, how much of the cake remains?",Multiplicative,Ratios/Proportions
"If 1/3 of a cake is eaten, how much of the cake remains?",Multiplicative,Ratios/Proportions
"The ratio of cats to dogs in a shelter is 5:4. If there are 20 cats, how many dogs are there?",Multiplicative,Ratios/Proportions
"A recipe calls for 2 cups of sugar. If the recipe is doubled, how many cups of sugar are needed?",Multiplicative,Ratios/Proportions
A car consumes 7 liters of fuel to travel 100 km. How much fuel is needed for 500 km?,Multiplicative,Ratios/Proportions
"The ratio of blue to red balls in a bag is 2:1. If there are 10 blue balls, how many red balls are there?",Multiplicative,Ratios/Proportions
"A recipe calls for 2 cups of sugar for every 5 cups of flour. If you have 10 cups of flour, how many cups of sugar do you need?",Multiplicative,Ratios/Proportions
A car travels 60 miles in 1.5 hours. How far will it travel in 4 hours?,Multiplicative,Ratios/Proportions
"The ratio of cats to dogs in a shelter is 5:4. If there are 20 cats, how many dogs are there?",Multiplicative,Ratios/Proportions
"If a worker earns $15 per hour, how much will they earn in 8 hours?",Multiplicative,Ratios/Proportions
"If one book costs $12, how much do 8 books cost?",Multiplicative,Ratios/Proportions
There are 36 apples divided equally among 6 baskets. How many apples are in each basket?,Multiplicative,Ratios/Proportions
"If a worker earns $15 per hour, how much will they earn in 8 hours?",Multiplicative,Ratios/Proportions
"The ratio of boys to girls in a class is 3:2. If there are 12 boys, how many girls are there?",Multiplicative,Ratios/Proportions
"In a map, 1 inch represents 5 miles. If the distance between two cities on the map is 4 inches, what is the actual distance?",Multiplicative,Ratios/Proportions
A car consumes 8 liters of fuel to travel 100 km. How much fuel is needed for 300 km?,Multiplicative,Ratios/Proportions
"The ratio of boys to girls in a class is 3:2. If there are 12 boys, how many girls are there?",Multiplicative,Ratios/Proportions
There are 36 apples divided equally among 6 baskets. How many apples are in each basket?,Multiplicative,Ratios/Proportions
"If one book costs $12, how much do 8 books cost?",Multiplicative,Ratios/Proportions
"The ratio of boys to girls in a class is 2:3. If there are 12 boys, how many girls are there?",Multiplicative,Ratios/Proportions
"The ratio of blue to red balls in a bag is 2:1. If there are 10 blue balls, how many red balls are there?",Multiplicative,Ratios/Proportions
"If 1/3 of a cake is eaten, how much of the cake remains?",Multiplicative,Ratios/Proportions
"If a worker earns $15 per hour, how much will they earn in 8 hours?",Multiplicative,Ratios/Proportions
"A recipe calls for 2 cups of sugar. If the recipe is doubled, how many cups of sugar are needed?",Multiplicative,Ratios/Proportions
Water flows into a tank at a rate of 5 liters per minute. How much water will flow in after 12 minutes?,Multiplicative,Ratios/Proportions
"If 1/3 of a cake is eaten, how much of the cake remains?",Multiplicative,Ratios/Proportions
"A recipe calls for 2 cups of sugar for every 5 cups of flour. If you have 10 cups of flour, how many cups of sugar do you need?",Multiplicative,Ratios/Proportions
A car consumes 8 liters of fuel to travel 100 km. How much fuel is needed for 300 km?,Multiplicative,Ratios/Proportions
"A rope is 12 meters long. If 1/4 of it is cut off, how much rope is left?",Multiplicative,Ratios/Proportions
"In a map, 1 inch represents 5 miles. If the distance between two cities on the map is 4 inches, what is the actual distance?",Multiplicative,Ratios/Proportions
"The ratio of boys to girls in a class is 3:2. If there are 12 boys, how many girls are there?",Multiplicative,Ratios/Proportions
"A store had 25 pens. After selling some, 15 pens are left. How many pens were sold?",Additive,Change
